FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2009/10,All Health Authorities,All Facilities,Sinus Surgery,"1,304","1,686",10.4,41.6
2009/10,All Health Authorities,All Facilities,Skin Surgery,267,930,3.9,25.9
2009/10,All Health Authorities,All Facilities,Skin Tumour Removal,691,"2,901",3.4,17.3
2009/10,All Health Authorities,All Facilities,Sphincterotomy,75,190,4.0,21.6
2009/10,All Health Authorities,All Facilities,Spinal/Back Surgery,"1,663","3,141",5.9,30.0
2009/10,All Health Authorities,All Facilities,Tendon Surgery,231,728,2.0,20.0
2009/10,All Health Authorities,All Facilities,Thoracotomy,18,145,3.1,7.1
2009/10,All Health Authorities,All Facilities,Thyroidectomy,309,"1,263",4.9,16.1
2009/10,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,"1,676","3,273",9.9,31.0
2009/10,All Health Authorities,All Facilities,Tympanoplasty,513,720,12.0,50.0
2009/10,All Health Authorities,All Facilities,Uterine Surgery,"2,772","11,980",5.0,17.7
2009/10,All Health Authorities,All Facilities,Vaginal Repair,649,"1,588",8.1,32.2
2009/10,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,"1,701","1,169",10.0,58.9
2009/10,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,204,677,4.0,17.5
2009/10,All Health Authorities,All Facilities,Vascular Surgery - Other,302,"1,528",2.3,12.6
2009/10,All Health Authorities,All Facilities,Wound/Laceration Care,318,"1,118",2.3,18.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Abdominoplasty,10,<5,,
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Other Procedures,30,59,4.0,34.2
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,"2,376","5,041",7.3,30.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Aortic Aneurysm Repair,18,14,5.1,12.1
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Appendectomy,<5,<5,,
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Biopsy in OR,6,37,1.9,8.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bladder Surgery,199,251,6.3,36.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bowel Resection,5,112,3.1,7.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Biopsy,16,129,2.9,8.5
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reconstruction,22,37,6.7,29.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reduction,252,175,32.0,76.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cholecystectomy,74,237,8.0,20.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Colostomy/Ileostomy,<5,9,4.6,19.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cyst/Ganglion Removal,<5,6,5.4,13.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,D&C and Related Surgery,51,169,7.1,25.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Dental Surgery,41,274,4.1,13.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Endarterectomy,12,80,4.5,11.1
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Examination Under Anaesthetic,8,12,5.2,11.8
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Gynecomastia,11,33,8.4,70.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Lesion/Tumour,18,60,5.6,25.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fallopian Tube/Ovarian Surgery,117,199,11.1,25.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fistula Repair - Non Vascular,9,15,18.7,38.5
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Foot/Ankle Surgery,<5,10,24.9,39.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fracture Repair,9,34,0.4,5.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hand/Wrist Surgery,34,58,8.0,25.7
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Abdominal,137,327,13.0,27.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Hiatal,<5,10,7.2,18.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hip Replacement,24,81,11.0,23.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Kidney/Bladder Stone Removal,<5,9,2.9,15.2
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - ACL Repair,23,48,10.6,23.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - Meniscectomy,96,189,25.1,35.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Arthroscopy,10,24,7.7,36.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Replacement,91,176,15.0,32.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Laparoscopy,36,58,9.2,23.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Lipectomy,<5,<5,,
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Male Reproductive Surgery,73,51,11.9,51.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Mastectomy,6,73,2.1,5.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Myringotomy,8,31,9.6,21.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nasal Surgery,31,51,10.6,42.7
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nerve Surgery,<5,7,2.0,8.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Oral Cavity & Pharynx Surgery,<5,6,3.7,7.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Ear Surgery,<5,9,38.0,68.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Eye Surgery,18,35,13.9,59.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Joint Reconstruction,16,65,6.6,27.2
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Orthopaedic Surgery,74,185,7.9,31.7
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Urology Surgery,62,130,5.0,22.0
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Parotidectomy,<5,17,5.0,9.7
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Prostate Surgery,147,159,12.4,38.1
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Rectal Surgery,23,42,14.5,29.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Shoulder Surgery,43,81,5.3,25.1
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sinus Surgery,33,61,9.4,20.3
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Surgery,17,34,9.0,63.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Tumour Removal,40,94,4.6,29.2
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sphincterotomy,9,16,21.2,38.4
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tendon Surgery,7,15,0.9,5.1
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Thyroidectomy,11,96,5.2,12.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tonsillectomy/Adenoidectomy,35,68,26.1,38.7
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tympanoplasty,14,13,20.0,47.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Uterine Surgery,186,445,6.9,22.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vaginal Repair,40,39,10.0,27.6
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Varicose Veins Ligation/Stripping,69,81,3.0,23.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Bypass Graft - Non Cardiac,8,65,6.0,11.5
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Surgery - Other,5,77,3.3,13.9
2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Wound/Laceration Care,19,39,8.4,29.9
2009/10,Fraser,All Facilities,Abdominoplasty,19,26,11.6,20.4
2009/10,Fraser,All Facilities,All Other Procedures,263,971,3.7,19.0
2009/10,Fraser,All Facilities,All Procedures,"22,900","62,147",6.0,27.6
2009/10,Fraser,All Facilities,Aortic Aneurysm Repair,58,87,4.9,19.6
2009/10,Fraser,All Facilities,Appendectomy,8,23,4.7,8.8
2009/10,Fraser,All Facilities,Bariatric Surgery,8,35,4.7,12.1
2009/10,Fraser,All Facilities,Biopsy in OR,58,438,1.9,5.9
2009/10,Fraser,All Facilities,Bladder Surgery,669,"1,840",4.2,25.1
2009/10,Fraser,All Facilities,Bowel Resection,90,749,2.6,7.9
2009/10,Fraser,All Facilities,Breast Biopsy,71,825,2.1,5.9
2009/10,Fraser,All Facilities,Breast Reconstruction,90,266,6.6,24.9
2009/10,Fraser,All Facilities,Breast Reduction,610,617,17.1,62.4
2009/10,Fraser,All Facilities,CSF Drainage,<5,0,,
2009/10,Fraser,All Facilities,Cataract Surgery,"6,558","15,320",11.1,35.7
2009/10,Fraser,All Facilities,Cholecystectomy,593,"2,125",4.4,19.5
2009/10,Fraser,All Facilities,Colostomy/Ileostomy,40,179,5.9,19.1
2009/10,Fraser,All Facilities,Cone Biopsy,30,245,3.0,8.7
2009/10,Fraser,All Facilities,Cranial Surgery,17,270,0.7,4.6
2009/10,Fraser,All Facilities,Cyst/Ganglion Removal,67,278,6.2,20.2
2009/10,Fraser,All Facilities,D&C and Related Surgery,424,"1,733",3.7,16.6
2009/10,Fraser,All Facilities,Dental Surgery,337,"1,079",5.1,23.2
2009/10,Fraser,All Facilities,Endarterectomy,21,168,3.1,10.1
2009/10,Fraser,All Facilities,Esophagectomy,<5,32,1.2,3.0
2009/10,Fraser,All Facilities,Examination Under Anaesthetic,46,181,3.4,14.4
2009/10,Fraser,All Facilities,Excision Gynecomastia,46,101,13.1,58.9
2009/10,Fraser,All Facilities,Excision Lesion/Tumour,146,514,3.7,14.0
2009/10,Fraser,All Facilities,Facial Bone Reconstruction,50,183,3.9,14.2
2009/10,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,503,"1,189",6.6,24.7
2009/10,Fraser,All Facilities,Fistula Repair - Non Vascular,26,83,4.6,20.9
2009/10,Fraser,All Facilities,Foot/Ankle Surgery,124,236,10.2,36.8
2009/10,Fraser,All Facilities,Foreign Body Removal Surgery,12,88,0.9,11.4
2009/10,Fraser,All Facilities,Fracture Repair,76,789,0.3,3.9
2009/10,Fraser,All Facilities,Free Flap Graft,<5,9,2.4,9.0
2009/10,Fraser,All Facilities,Hand/Wrist Surgery,235,569,6.1,21.1
2009/10,Fraser,All Facilities,Hernia Repair - Abdominal,"1,286","3,110",7.4,26.9
2009/10,Fraser,All Facilities,Hernia Repair - Hiatal,57,62,6.9,22.0
2009/10,Fraser,All Facilities,Hip Replacement,265,748,10.2,26.8
2009/10,Fraser,All Facilities,Kidney/Bladder Stone Removal,26,130,3.0,15.1
2009/10,Fraser,All Facilities,Knee - ACL Repair,242,480,10.0,26.5
2009/10,Fraser,All Facilities,Knee - Meniscectomy,213,530,11.6,45.6
2009/10,Fraser,All Facilities,Knee Arthroscopy,754,"2,133",5.0,22.6
2009/10,Fraser,All Facilities,Knee Replacement,798,"1,563",13.0,35.0
2009/10,Fraser,All Facilities,Laparoscopy,170,604,4.3,18.4
2009/10,Fraser,All Facilities,Laparotomy,17,212,2.9,12.1
2009/10,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,231,"1,257",1.9,14.4
2009/10,Fraser,All Facilities,Ligament Surgery,14,99,7.3,24.3
2009/10,Fraser,All Facilities,Lipectomy,<5,24,6.7,28.7
2009/10,Fraser,All Facilities,Lung Surgery,23,112,2.7,5.4
2009/10,Fraser,All Facilities,Male Reproductive Surgery,258,637,3.9,23.6
2009/10,Fraser,All Facilities,Mastectomy,75,814,2.0,6.1
2009/10,Fraser,All Facilities,Mastoidectomy,24,38,9.1,17.9
2009/10,Fraser,All Facilities,Myringotomy,134,466,4.4,12.6
2009/10,Fraser,All Facilities,Nasal Surgery,702,873,10.9,41.9
2009/10,Fraser,All Facilities,Nerve Surgery,146,265,6.1,22.0
2009/10,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,40,159,7.3,31.2
2009/10,Fraser,All Facilities,Other Ear Surgery,10,43,11.9,46.1
2009/10,Fraser,All Facilities,Other Eye Surgery,227,683,4.7,31.0
2009/10,Fraser,All Facilities,Other Joint Reconstruction,142,431,8.3,49.7
2009/10,Fraser,All Facilities,Other Orthopaedic Surgery,555,"1,635",6.0,28.9
2009/10,Fraser,All Facilities,Other Urology Surgery,406,"1,738",3.3,13.1
2009/10,Fraser,All Facilities,Parotidectomy,20,84,4.7,13.9
2009/10,Fraser,All Facilities,Prostate Surgery,533,"1,366",5.7,25.0
2009/10,Fraser,All Facilities,Rectal Surgery,197,329,7.9,26.1
2009/10,Fraser,All Facilities,Scope of Chest,21,149,2.0,6.7
2009/10,Fraser,All Facilities,Shoulder Surgery,325,662,11.5,32.1
2009/10,Fraser,All Facilities,Shunt Insertion/Removal,<5,46,0.9,3.5
2009/10,Fraser,All Facilities,Sinus Surgery,372,716,10.9,46.6
2009/10,Fraser,All Facilities,Skin Surgery,79,277,3.7,29.1
2009/10,Fraser,All Facilities,Skin Tumour Removal,299,967,3.6,21.1
2009/10,Fraser,All Facilities,Sphincterotomy,29,58,5.4,35.1
2009/10,Fraser,All Facilities,Spinal/Back Surgery,666,649,7.6,39.4
2009/10,Fraser,All Facilities,Tendon Surgery,48,236,0.3,10.4
2009/10,Fraser,All Facilities,Thoracotomy,<5,27,1.6,4.4
2009/10,Fraser,All Facilities,Thyroidectomy,58,356,4.6,13.8
2009/10,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,437,"1,060",8.9,26.7
2009/10,Fraser,All Facilities,Tympanoplasty,112,133,8.6,30.0
2009/10,Fraser,All Facilities,Uterine Surgery,974,"3,311",5.6,18.7
2009/10,Fraser,All Facilities,Vaginal Repair,196,371,9.1,34.0
2009/10,Fraser,All Facilities,Varicose Veins Ligation/Stripping,203,223,5.0,48.6
2009/10,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,29,167,3.3,12.7
2009/10,Fraser,All Facilities,Vascular Surgery - Other,51,369,2.1,6.9
2009/10,Fraser,All Facilities,Wound/Laceration Care,127,491,2.9,18.6
2009/10,Fraser,Burnaby Hospital,All Other Procedures,27,108,5.1,37.0
2009/10,Fraser,Burnaby Hospital,All Procedures,"2,886","7,175",6.4,33.0
2009/10,Fraser,Burnaby Hospital,Appendectomy,<5,<5,,
2009/10,Fraser,Burnaby Hospital,Biopsy in OR,<5,26,2.6,5.1
2009/10,Fraser,Burnaby Hospital,Bladder Surgery,57,237,4.1,17.7
2009/10,Fraser,Burnaby Hospital,Bowel Resection,16,100,2.0,7.5
2009/10,Fraser,Burnaby Hospital,Breast Biopsy,9,81,2.0,4.0
2009/10,Fraser,Burnaby Hospital,Breast Reconstruction,8,12,8.9,27.4
2009/10,Fraser,Burnaby Hospital,Breast Reduction,21,36,18.4,26.4
2009/10,Fraser,Burnaby Hospital,Cataract Surgery,901,"1,953",9.0,41.1
2009/10,Fraser,Burnaby Hospital,Cholecystectomy,74,164,6.0,33.9
2009/10,Fraser,Burnaby Hospital,Colostomy/Ileostomy,<5,28,4.1,12.8
2009/10,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,20,48,6.0,16.1
2009/10,Fraser,Burnaby Hospital,D&C and Related Surgery,10,45,4.3,15.2
2009/10,Fraser,Burnaby Hospital,Dental Surgery,<5,27,4.1,14.5
2009/10,Fraser,Burnaby Hospital,Examination Under Anaesthetic,<5,19,8.0,34.1
2009/10,Fraser,Burnaby Hospital,Excision Gynecomastia,<5,<5,,
2009/10,Fraser,Burnaby Hospital,Excision Lesion/Tumour,15,34,4.1,16.2
2009/10,Fraser,Burnaby Hospital,Facial Bone Reconstruction,<5,<5,,
2009/10,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,38,101,6.3,21.3
2009/10,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,7,5,8.9,13.0
2009/10,Fraser,Burnaby Hospital,Foot/Ankle Surgery,20,47,6.7,26.1
2009/10,Fraser,Burnaby Hospital,Fracture Repair,<5,21,0.6,6.0
2009/10,Fraser,Burnaby Hospital,Hand/Wrist Surgery,52,89,7.7,17.1
2009/10,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,104,296,5.0,27.6
2009/10,Fraser,Burnaby Hospital,Hernia Repair - Hiatal,<5,<5,,
2009/10,Fraser,Burnaby Hospital,Hip Replacement,44,157,9.1,22.4
2009/10,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,<5,6,2.8,15.4
2009/10,Fraser,Burnaby Hospital,Knee - ACL Repair,51,108,11.2,33.1
2009/10,Fraser,Burnaby Hospital,Knee - Meniscectomy,<5,0,,
2009/10,Fraser,Burnaby Hospital,Knee Arthroscopy,131,452,9.0,20.7
2009/10,Fraser,Burnaby Hospital,Knee Replacement,110,257,12.6,27.7
2009/10,Fraser,Burnaby Hospital,Laparoscopy,18,49,10.0,23.3
2009/10,Fraser,Burnaby Hospital,Laparotomy,<5,21,2.9,14.0
2009/10,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,61,173,2.9,45.5
2009/10,Fraser,Burnaby Hospital,Ligament Surgery,5,6,3.6,7.3
2009/10,Fraser,Burnaby Hospital,Male Reproductive Surgery,29,41,3.0,11.3
2009/10,Fraser,Burnaby Hospital,Mastectomy,<5,46,1.8,7.8
2009/10,Fraser,Burnaby Hospital,Mastoidectomy,6,8,3.9,27.3
2009/10,Fraser,Burnaby Hospital,Myringotomy,<5,<5,,
2009/10,Fraser,Burnaby Hospital,Nasal Surgery,164,199,9.6,52.5
2009/10,Fraser,Burnaby Hospital,Nerve Surgery,<5,13,2.6,12.4
2009/10,Fraser,Burnaby Hospital,Oral Cavity & Pharynx Surgery,31,121,10.3,37.0
2009/10,Fraser,Burnaby Hospital,Other Eye Surgery,45,132,3.5,32.6
2009/10,Fraser,Burnaby Hospital,Other Joint Reconstruction,10,16,6.6,19.4
2009/10,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,34,97,7.1,23.6
2009/10,Fraser,Burnaby Hospital,Other Urology Surgery,55,255,3.4,13.2
2009/10,Fraser,Burnaby Hospital,Prostate Surgery,193,364,6.1,21.8
2009/10,Fraser,Burnaby Hospital,Rectal Surgery,23,38,7.7,26.7
2009/10,Fraser,Burnaby Hospital,Shoulder Surgery,44,104,12.4,28.7
2009/10,Fraser,Burnaby Hospital,Sinus Surgery,164,296,8.0,67.6
2009/10,Fraser,Burnaby Hospital,Skin Surgery,<5,20,2.4,19.1
2009/10,Fraser,Burnaby Hospital,Skin Tumour Removal,29,51,2.3,9.7
2009/10,Fraser,Burnaby Hospital,Sphincterotomy,<5,5,13.1,31.5
2009/10,Fraser,Burnaby Hospital,Spinal/Back Surgery,<5,24,1.1,5.0
2009/10,Fraser,Burnaby Hospital,Tendon Surgery,5,14,0.6,2.3
2009/10,Fraser,Burnaby Hospital,Thyroidectomy,<5,20,5.4,35.6
2009/10,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,59,88,8.0,34.3
2009/10,Fraser,Burnaby Hospital,Tympanoplasty,20,23,1.7,10.4
2009/10,Fraser,Burnaby Hospital,Uterine Surgery,111,402,5.3,17.3
2009/10,Fraser,Burnaby Hospital,Vaginal Repair,15,42,5.4,16.3
2009/10,Fraser,Burnaby Hospital,Vascular Surgery - Other,<5,6,1.2,2.4
2009/10,Fraser,Burnaby Hospital,Wound/Laceration Care,<5,12,0.9,14.4
2009/10,Fraser,Chilliwack General Hospital,All Other Procedures,<5,30,3.0,13.6
2009/10,Fraser,Chilliwack General Hospital,All Procedures,"2,473","7,830",10.0,28.0
2009/10,Fraser,Chilliwack General Hospital,Appendectomy,<5,<5,,
2009/10,Fraser,Chilliwack General Hospital,Biopsy in OR,<5,23,1.6,7.7
2009/10,Fraser,Chilliwack General Hospital,Bladder Surgery,52,164,4.5,23.0
2009/10,Fraser,Chilliwack General Hospital,Bowel Resection,<5,62,2.9,6.0
2009/10,Fraser,Chilliwack General Hospital,Breast Biopsy,<5,122,2.9,6.0
2009/10,Fraser,Chilliwack General Hospital,Cataract Surgery,"1,688","4,498",15.1,32.7
2009/10,Fraser,Chilliwack General Hospital,Cholecystectomy,21,143,4.0,9.7
2009/10,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,<5,14,5.9,10.3
2009/10,Fraser,Chilliwack General Hospital,Cone Biopsy,5,62,2.3,6.1
2009/10,Fraser,Chilliwack General Hospital,D&C and Related Surgery,38,121,4.9,20.4
2009/10,Fraser,Chilliwack General Hospital,Dental Surgery,8,14,7.9,18.0
2009/10,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,<5,16,3.4,7.3
2009/10,Fraser,Chilliwack General Hospital,Excision Gynecomastia,<5,<5,,
